,id,name,followers,popularity,label
0,4lDiJcOJ2GLCK6p9q5BgfK,Kontra K,1999676.0,72,2
1,5Matrg5du62bXwer29cU5T,Benny The Butcher,266547.0,64,3
2,4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton,39139.0,71,5
3,0H1pP8C4zaVSilRjiRa2Wy,D1NO,19269.0,48,2
4,2HmmA3GhP0xsbRUiDllJUn,Pep & Rash,77599.0,39,0
5,7jZMxhsB8djyIbYmoiJSTs,Kiana Ledé,1351452.0,64,4
6,4N874uPqBka1QiCvnCVOtr,Phoebe Ryan,339160.0,55,5
7,4kwEd1P9j15ZqUVP5zK7Pv,Joe Stone,32782.0,55,0
8,23fqKkggKUBHNkbKtXEls4,Kygo,8134874.0,80,4
9,78rEst9B8h5utylmzIoUgb,Samuel Jack,10943.0,50,5
10,360IAlyVv4PCEVjgyMZrxK,Miguel,4195623.0,77,4
11,5ttgIeUVka6FLyi00Uu5h8,Jauz,373735.0,58,0
12,2Z9KL8Zmqx5Sg3cd7Fldhl,Olexesh,858401.0,64,2
13,1XLjkBxFokuDTlHt0mQkRe,Thomas Gold,163074.0,51,0
14,4kYSro6naA4h99UJvo89HB,Cardi B,20361435.0,80,4
15,5qZLYtTL3ldN6Uw7OXHESR,Sa4,241730.0,59,2
16,2GHclqNVjqGuiE5mA7BEoc,Common,833451.0,62,3
17,7H3TyvM3dpW78cru0Oaui9,YONII,155568.0,50,2
18,6hyMWrxGBsOx6sWcVj1DqP,Sebastian Ingrosso,938110.0,62,0
19,5uCXJWo3WoXgqv3T1RlAbh,Katie Melua,483771.0,58,5
20,04FsFHujpuqonrPXZrEJlK,Dev Negi,532150.0,64,1
21,5RZjpmuD14JKXvB8Ry1G1u,Amanda Seyfried,85707.0,67,4
22,1Sl3idO2XzH3AVb6nOjOxs,Reda Rwena,66796.0,41,2
23,1yzgJmZf5CxtFfGfRFm4Si,Gajendra Verma,1688081.0,62,1
24,6y5amJcTjeDgLXIjtQLMst,SAYGRACE,173252.0,57,4
25,78xUyw6FkVZrRAtziFdtdu,The Roots,1216070.0,59,3
26,1xr2G8Hlx4QWmT9HaUbmoO,Young Stoner Life,90775.0,65,3
27,6xF3XdxG7VHRmQmTJxRqX8,Manu Gavassi,724049.0,53,4
28,19MVxKZZdPj2X0F8pi0OCT,Sukhwinder Singh,379324.0,66,1
29,0AsThoR4KZSVktALiNcQwW,Chloe x Halle,1857184.0,60,4
30,6vWDO969PvNqNYHIOW5v0m,Beyoncé,32087569.0,88,4
31,0huGjMyP507tBCARyzSkrv,Cordae,1803987.0,68,3
32,2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney,922306.0,61,4
33,5p7mWeX4RlvqBCxylfiXdE,KC Rebell,1159849.0,63,2
34,3Mcii5XWf6E0lrY3Uky4cA,Ice Cube,6028684.0,74,3
35,4xnihxcoXWK3UqryOSnbw5,Sasha Alex Sloan,1174594.0,70,4
36,5wPoxI5si3eJsYYwyXV4Wi,N.E.R.D,761535.0,58,3
37,12SPNXi0aDpFt0rMVbmLrr,Jay Hardway,415961.0,49,0
38,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,26039960.0,87,4
39,5B5A66ePBh1rHxaiFwuQIf,Zensery,25614.0,52,2
40,3gggmBN0erstm3YJvEGe3t,Jake Miller,302885.0,58,4
41,6U3ybJ9UHNKEdsH7ktGBZ7,JID,987676.0,80,3
42,3r82jUxl7ThSdOhB90Qn6u,1019,20897.0,49,2
43,2SveKtmknwwMpYJtuFkYZj,Schubi AKpella,34174.0,46,2
44,6qcIg4IPLulyc03mWR87N8,Kanika Kapoor,425430.0,58,1
45,1wdU1J2NHzcDYarT7jEU2A,Dastic,46921.0,51,0
46,6UBA15slIuadJ8h2lPRPos,Tech N9ne,2523206.0,70,3
47,5WdqBAQhGFCrZvBKXiPIu7,The Him,107823.0,56,0
48,6hMNiBKUQFKpnZ7GTvLVZf,Ali Bumaye,187982.0,47,2
49,0lMa3YTHqQnDDTBaxAV7LK,Ranveer Singh,474708.0,51,1
50,4BzCdhJTyTS3gumq9xmymb,ayokay,158827.0,57,4
51,0lFLP59V4TY3XgnrkFIwxK,Katja Krasavice,375665.0,54,2
52,2otUckChxWf2cp6UP2cD6e,Zuna,977513.0,67,2
53,4xRYI6VqpkE3UwrDrAZL8L,Logic,5783112.0,77,3
54,78TTCmh2koperK5NBn7DgR,102 Boyz,167497.0,63,2
55,5gCRApTajqwbnHHPbr2Fpi,Juicy J,2891371.0,73,3
56,0UTkv1GEUZSPIVZwMFGtf3,GENT,45093.0,35,2
57,2txHhyCwHjUEpJjWrEyqyX,Tom Odell,2371386.0,77,4
58,0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,9097882.0,76,4
59,67xyhWIvYQK5qr6b0gElst,Rae Morris,65126.0,47,5
60,7oIvDwKGV2SuH4HJl0CKPp,Dante YN,80633.0,61,2
61,5jm3x1qIibWdKSEMw2G011,Moksi,101886.0,53,0
62,7oWrEQO1d3klp0Qrfh7a5h,badmómzjay,291594.0,62,2
63,7KMqksf0UMdyA0UCf4R3ux,James Blunt,2674177.0,70,4
64,5CMaNobmJYgXcfiT0zYOwi,WHIPPED CREAM,57224.0,48,0
65,3pc0bOVB5whxmD50W79wwO,keshi,1889500.0,75,4
66,1Wic7dyEeEpQXDBbDf6HKm,HoodBlaq,60507.0,63,2
67,0XqFDQJjqW5PfhfBCb53LR,Sick Individuals,182154.0,57,0
68,5CdJjUi9f0cVgo9nFuJrFa,Adventure Club,291637.0,51,0
69,01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco,1782190.0,66,3
70,3c96G4d2lUOxhomM2mby5S,Bushido,1179208.0,63,2
71,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,6881366.0,80,4
72,5Ip2ecnyGpNyZvPuuYU8Ai,Dzeko & Torres,107232.0,48,0
73,6M7RdR9ZP52h2mfNLmiHtU,Good Times Ahead,300608.0,55,0
74,2zJ8chFLjiBHRNchfevMRI,SNBRN,100622.0,52,0
75,7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh,9404731.0,70,1
76,2LgKrgRJcbJlt14i1LTzDU,Amit Mishra,577615.0,55,1
77,1jhdZdzOd4TJLAHqQdkUND,Jamie Lawson,115457.0,52,5
78,3y24n3XhZ96wgwRXjvS17T,Coolio,685545.0,68,3
79,3ScY9CQxNLQei8Umvpx5g6,Fat Joe,1408217.0,67,3
80,0bMt8SJlp0gFRUufzifS05,K.I.Z,790310.0,66,2
81,4DMzvwya65eu1LsYZ3BLV6,Estikay,58185.0,42,2
82,2JwyRtuXf2l6sTnSnGVIa1,Farid Bang,816132.0,66,2
83,4WoSAKuoaPxrbwp3Y1PvKb,Bozza,62113.0,57,2
84,422RLznpwUa5FsQgnTlgUH,Great Good Fine Ok,121170.0,52,5
85,5g3TY29rk8El8lvejImgso,Bato,69529.0,44,2
86,6hfwwpXqZPRC9CsKI7qtv1,Alina Baraz,1166998.0,65,4
87,3KQylwDxYE7Vxli0BSuwaf,$OHO BANI,57984.0,55,2
88,6vRKWcwC6OphUNy3Ds5O0U,Ataypapi,4107.0,46,2
89,1KP6TWI40m7p3QBTU6u2xo,BØRNS,1093578.0,67,4
90,2TAqN8fwfaKauvviN4pOsv,JC Stewart,76736.0,59,5
